threshold,precision,recall,f1
0.268,0.2874743326488706,0.6194690265486725,0.3927068723702665
0.272,0.2893081761006289,0.6106194690265486,0.3926031294452347
0.276,0.2955032119914347,0.6106194690265486,0.3982683982683982
0.28,0.30196936542669583,0.6106194690265486,0.404099560761347
0.284,0.3071748878923767,0.6061946902654868,0.40773809523809523
0.288,0.3097949886104784,0.6017699115044248,0.4090225563909775
0.292,0.31336405529953915,0.6017699115044248,0.41212121212121217
0.296,0.317016317016317,0.6017699115044248,0.41526717557251913
0.3,0.32066508313539194,0.5973451327433629,0.41731066460587324
0.304,0.3245192307692308,0.5973451327433629,0.42056074766355145
0.308,0.33002481389578164,0.588495575221239,0.42289348171701113
0.312,0.3341708542713568,0.588495575221239,0.4262820512820513
0.316,0.33587786259541985,0.584070796460177,0.4264943457189015
0.32,0.33506493506493507,0.5707964601769911,0.4222585924713584
0.324,0.33773087071240104,0.5663716814159292,0.42314049586776853
0.328,0.3405994550408719,0.5530973451327433,0.42158516020236086
0.332,0.3436619718309859,0.5398230088495575,0.4199655765920826
0.336,0.3475783475783476,0.5398230088495575,0.4228769497400347
0.34,0.35174418604651164,0.5353982300884956,0.424561403508772
0.344,0.35714285714285715,0.5309734513274337,0.4270462633451958
0.348,0.3617021276595745,0.5265486725663717,0.4288288288288289
0.352,0.36363636363636365,0.5132743362831859,0.42568807339449544
0.356,0.36893203883495146,0.504424778761062,0.4261682242990655
0.36,0.3654485049833887,0.48672566371681414,0.41745730550284627
0.364,0.36486486486486486,0.4778761061946903,0.41379310344827586
0.368,0.3642611683848797,0.4690265486725664,0.41005802707930367
0.372,0.36524822695035464,0.4557522123893805,0.405511811023622
0.376,0.37454545454545457,0.4557522123893805,0.4111776447105789
0.38,0.37777777777777777,0.45132743362831856,0.41129032258064513
0.384,0.376425855513308,0.43805309734513276,0.40490797546012275
0.388,0.3852140077821012,0.43805309734513276,0.4099378881987577
0.392,0.3699186991869919,0.4026548672566372,0.3855932203389831
0.396,0.37130801687763715,0.3893805309734513,0.3801295896328294
0.4,0.37339055793991416,0.38495575221238937,0.37908496732026137
0.404,0.375,0.37168141592920356,0.3733333333333333
0.408,0.38028169014084506,0.3584070796460177,0.3690205011389522
0.412,0.37755102040816324,0.3274336283185841,0.35071090047393366
0.416,0.39572192513368987,0.3274336283185841,0.3583535108958838
0.42,0.4022346368715084,0.3185840707964602,0.3555555555555555
0.424,0.4034090909090909,0.3141592920353982,0.35323383084577115
0.428,0.40236686390532544,0.3008849557522124,0.34430379746835443
0.432,0.4125,0.2920353982300885,0.34196891191709844
0.436,0.4144736842105263,0.27876106194690264,0.3333333333333333
0.44,0.42758620689655175,0.2743362831858407,0.33423180592991913
0.444,0.4306569343065693,0.2610619469026549,0.325068870523416
0.448,0.4461538461538462,0.25663716814159293,0.3258426966292135
0.452,0.4435483870967742,0.24336283185840707,0.3142857142857143
0.456,0.45,0.23893805309734514,0.31213872832369943
0.46,0.45132743362831856,0.22566371681415928,0.3008849557522124
0.464,0.4722222222222222,0.22566371681415928,0.3053892215568862
0.468,0.46601941747572817,0.21238938053097345,0.29179331306990886
0.472,0.47959183673469385,0.2079646017699115,0.29012345679012347
0.476,0.4782608695652174,0.19469026548672566,0.27672955974842767
0.48,0.4835164835164835,0.19469026548672566,0.277602523659306
0.484,0.47126436781609193,0.18141592920353983,0.26198083067092653
0.488,0.48148148148148145,0.17256637168141592,0.254071661237785
0.492,0.5,0.168141592920354,0.25165562913907286
0.496,0.5066666666666667,0.168141592920354,0.25249169435215946
0.5,0.5211267605633803,0.16371681415929204,0.24915824915824916
0.508,0.5223880597014925,0.15486725663716813,0.2389078498293515
0.512,0.5384615384615384,0.15486725663716813,0.24054982817869414
0.516,0.532258064516129,0.14601769911504425,0.22916666666666669
0.52,0.5245901639344263,0.1415929203539823,0.2229965156794425
0.524,0.5423728813559322,0.1415929203539823,0.22456140350877193
0.528,0.5535714285714286,0.13716814159292035,0.21985815602836878
0.532,0.5555555555555556,0.13274336283185842,0.21428571428571433
0.536,0.5471698113207547,0.12831858407079647,0.20788530465949823
0.544,0.58,0.12831858407079647,0.2101449275362319
0.548,0.574468085106383,0.11946902654867257,0.19780219780219782
0.552,0.5777777777777777,0.11504424778761062,0.1918819188191882
0.56,0.5909090909090909,0.11504424778761062,0.19259259259259262
0.564,0.6097560975609756,0.11061946902654868,0.18726591760299627
0.568,0.6,0.10619469026548672,0.18045112781954886
0.572,0.6153846153846154,0.10619469026548672,0.1811320754716981
0.576,0.6052631578947368,0.10176991150442478,0.17424242424242425
