model,split,feature_set,label_col,threshold,p_debt,r_debt,f1_debt,f1_macro,f1_weighted,f1_micro,mcc,balanced_acc,roc_auc,pr_auc_debt,specificity,tn,fp,fn,tp,n_samples,imbalance,phase,tuned_threshold,threshold_objective
xgb,time/val,change_only,label_llm,0.4500042200088501,0.37797619047619047,0.40836012861736337,0.39258114374034003,0.6709781926353382,0.9081949884000892,0.9065398335315101,0.342338252999192,0.6773439061165913,0.7866451313505649,0.33182108712466546,0.9463276836158192,3685,209,184,127,4205,none,val,0.4500042200088501,f1
xgb,time/test,change_only,label_llm,0.4500042200088501,0.36283185840707965,0.3374485596707819,0.34968017057569295,0.655669752164025,0.9263528435690879,0.9275878442545109,0.31162245960957846,0.65058369026623,0.7775045698816029,0.27597999670034434,0.963718820861678,3825,144,161,82,4212,none,test,0.4500042200088501,f1
rf,time/val,change_only,label_llm,0.3636466207115126,0.3412887828162291,0.45980707395498394,0.3917808219178082,0.6669841609589041,0.9014796576971316,0.8944114149821641,0.3398215802326167,0.6944643998434396,0.7987129180518467,0.3093501653431706,0.9291217257318952,3618,276,168,143,4205,class_weight,val,0.3636466207115126,f1
rf,time/test,change_only,label_llm,0.3636466207115126,0.2894736842105263,0.4074074074074074,0.3384615384615385,0.6445464982778415,0.9153139627307251,0.9081196581196581,0.2955158536024575,0.6730914588057445,0.7914257304811881,0.2671819498072658,0.9387755102040817,3726,243,144,99,4212,class_weight,test,0.3636466207115126,f1
lgbm,time/val,change_only,label_llm,0.6860860083649442,0.34813084112149534,0.4790996784565916,0.40324763193504737,0.6728791933629089,0.902627085062321,0.8951248513674197,0.35266159435533195,0.7037254940819168,0.7900389254141502,0.3239455119037158,0.9283513097072419,3615,279,162,149,4205,class_weight,val,0.6860860083649442,f1
lgbm,time/test,change_only,label_llm,0.6860860083649442,0.3517915309446254,0.4444444444444444,0.3927272727272727,0.6751545939455514,0.924994147330952,0.9207027540360874,0.35366918561652105,0.6971529352481733,0.7914174357443022,0.3101067773470497,0.9498614260519023,3770,199,135,108,4212,class_weight,test,0.6860860083649442,f1
xgb,time/val,change_only,label_llm,0.7432430982589722,0.3875,0.3987138263665595,0.393026941362916,0.6718959105837591,0.9095148206237783,0.9089179548156956,0.3438435298269223,0.6741899897112715,0.7684883331103833,0.2971181622076617,0.9496661530559836,3698,196,187,124,4205,class_weight,val,0.7432430982589722,f1
xgb,time/test,change_only,label_llm,0.7432430982589722,0.38207547169811323,0.3333333333333333,0.35604395604395606,0.6596382410411774,0.9282024162310272,0.9304368471035138,0.32028818367322437,0.6501637692113883,0.7577096987247878,0.26724327431177775,0.9669942050894432,3838,131,162,81,4212,class_weight,test,0.7432430982589722,f1
rf,time/val,change_only,label_llm,0.6144,0.31462925851703405,0.5048231511254019,0.38765432098765434,0.6611955815464587,0.8942748530285506,0.8820451843043995,0.3374479465800295,0.7084978621574621,0.8005266573853418,0.3017323261656908,0.9121725731895224,3552,342,154,157,4205,smote,val,0.6144,f1
rf,time/test,change_only,label_llm,0.6144,0.29213483146067415,0.4279835390946502,0.34724540901502504,0.6486386789484071,0.9152558023510143,0.9071699905033238,0.3055185263213343,0.6822457378012934,0.7844052725495014,0.2654297396245904,0.9365079365079365,3717,252,139,104,4212,smote,test,0.6144,f1
lgbm,time/val,change_only,label_llm,0.6311452184522717,0.3081180811808118,0.5369774919614148,0.39155920281359907,0.6614405779848067,0.8914013311925204,0.8765755053507729,0.3441747142286197,0.7203377444398753,0.7831939483119386,0.3286547257172128,0.9036979969183359,3519,375,144,167,4205,smote,val,0.6311452184522717,f1
lgbm,time/test,change_only,label_llm,0.6311452184522717,0.2872340425531915,0.4444444444444444,0.34894991922455576,0.6486581754995296,0.913784709896622,0.904320987654321,0.3082201015250519,0.6884605694129504,0.777519085671153,0.2791177465044144,0.9324766943814563,3701,268,135,108,4212,smote,test,0.6311452184522717,f1
xgb,time/val,change_only,label_llm,0.769343376159668,0.3414043583535109,0.4533762057877814,0.38950276243093923,0.6659978032815638,0.901593934403511,0.8948870392390011,0.33725844220298057,0.6917625764429405,0.7759154573694875,0.3066903304516546,0.9301489470980996,3622,272,170,141,4205,smote,val,0.769343376159668,f1
xgb,time/test,change_only,label_llm,0.769343376159668,0.33687943262411346,0.39094650205761317,0.3619047619047619,0.6597471651022734,0.9232231371616104,0.9204653371320038,0.32075123823131846,0.6719156798521878,0.7688541961518642,0.2806874463260783,0.9528848576467625,3782,187,148,95,4212,smote,test,0.769343376159668,f1
